neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Central Region,Kallang,1.31278,103.8608,1.0,85,0.6931471805599453,1.3862943611198906,0.1988508587451652,1.0
Central Region,Kallang,1.31273,103.85916,1.0,85,0.6931471805599453,0.0,0.0,1.0
Central Region,Kallang,1.31392,103.86103,1.0,85,0.6931471805599453,0.0,0.0,1.0
Central Region,Kallang,1.31441,103.85928,1.0,85,0.6931471805599453,0.0,0.0,1.0
West Region,Jurong West,1.34327,103.70511,1.0,90,1.3862943611198906,2.1972245773362196,0.4382549309311553,1.0
Central Region,Kallang,1.32072,103.86489,1.0,90,0.6931471805599453,0.0,0.0,0.0
Central Region,Downtown Core,1.29721,103.8564,0.0,40,0.6931471805599453,2.639057329615259,0.6418538861723948,0.3041095890410959
Central Region,Kallang,1.31581,103.85779,2.0,114,3.4339872044851463,3.367295829986474,0.9932517730102834,0.12876712328767123
Central Region,Kallang,1.32254,103.86495,2.0,140,2.1972245773362196,1.6094379124341003,0.41871033485818504,1.0
Central Region,Kallang,1.31554,103.85653,2.0,110,3.4339872044851463,2.995732273553991,0.7975071958841881,0.21095890410958903
Central Region,Kallang,1.31406,103.85598,2.0,150,3.4339872044851463,1.3862943611198906,0.20701416938432615,0.016438356164383564
Central Region,Kallang,1.31437,103.85641,2.0,150,3.4339872044851463,1.6094379124341003,0.23111172096338664,0.1917808219178082
Central Region,Kallang,1.31628,103.85807,2.0,110,3.4339872044851463,2.302585092994046,0.4700036292457356,0.038356164383561646
North-East Region,Serangoon,1.34707,103.87935,2.0,87,2.772588722239781,0.6931471805599453,0.09531017980432487,0.0
North Region,Woodlands,1.44001,103.8009,1.0,44,1.9459101490553132,1.6094379124341003,0.2776317365982795,0.9671232876712329
Central Region,Bukit Timah,1.32559,103.81097,1.0,40,2.0794415416798357,1.0986122886681096,0.12221763272424921,0.1506849315068493
Central Region,Geylang,1.31093,103.88552,2.0,131,1.3862943611198906,1.9459101490553132,0.37156355643248307,0.8821917808219178
Central Region,Newton,1.3056,103.83983,1.0,87,3.367295829986474,1.791759469228055,0.27002713721306015,0.7095890410958904
Central Region,Rochor,1.30142,103.84839,2.0,112,2.772588722239781,0.6931471805599453,0.058268908123975775,0.4767123287671233
Central Region,Geylang,1.31235,103.88531,2.0,200,1.3862943611198906,2.3978952727983707,0.4762341789963716,1.0
Central Region,Rochor,1.29995,103.85002,2.0,300,1.9459101490553132,1.6094379124341003,0.23111172096338664,0.9698630136986301
Central Region,Queenstown,1.27949,103.78758,1.0,99,1.791759469228055,0.6931471805599453,0.08617769624105233,0.915068493150685
Central Region,Kallang,1.32491,103.86406,1.0,50,1.791759469228055,0.6931471805599453,0.058268908123975775,0.0
Central Region,Kallang,1.3119,103.8572,2.0,261,1.0986122886681096,1.9459101490553132,0.31481073984003355,0.23835616438356164
North-East Region,Hougang,1.36395,103.8904,1.0,44,4.110873864173311,0.6931471805599453,0.06765864847381481,0.6657534246575343
Central Region,Museum,1.29476,103.84221,2.0,150,2.3978952727983707,1.791759469228055,0.3852624007906449,0.8684931506849315
Central Region,Novena,1.32678,103.84787,2.0,106,3.258096538021482,0.6931471805599453,0.14842000511827327,1.0
East Region,Bedok,1.32892,103.94449,1.0,28,3.044522437723423,1.0986122886681096,0.29266961396282,0.4904109589041096
Central Region,Kallang,1.32689,103.8671,2.0,200,3.258096538021482,0.0,0.0,1.0
Central Region,Kallang,1.32697,103.86566,2.0,200,1.3862943611198906,1.3862943611198906,0.173953307123438,0.9835616438356164
Central Region,Kallang,1.3162,103.85901,0.0,32,0.6931471805599453,3.4011973816621555,1.128171090909654,0.915068493150685
Central Region,Queenstown,1.29222,103.80765,1.0,256,1.3862943611198906,0.0,0.0,0.9972602739726028
Central Region,Kallang,1.31502,103.85919,0.0,32,0.6931471805599453,2.639057329615259,0.5933268452777344,0.9808219178082191
Central Region,Kallang,1.31493,103.85839,0.0,32,0.6931471805599453,2.9444389791664403,0.76080582903376,0.9780821917808219
Central Region,Kallang,1.3162,103.85987,0.0,32,0.6931471805599453,2.772588722239781,0.6471032420585385,0.9616438356164384
Central Region,Outram,1.28271,103.84606,0.0,50,0.6931471805599453,1.0986122886681096,0.13976194237515868,1.0
